SALESORDERID,CREATEDBY,CREATEDAT,CHANGEDBY,CHANGEDAT,FISCVARIANT,FISCALYEARPERIOD,NOTEID,PARTNERID,SALESORG,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS
0500000000,0000000004,20180111,0000000004,20180116,K4,2018001,,0100000022,APJ,USD,13587,11888.625,1698.375,C,C,C
0500000001,0000000002,20180112,0000000002,20180115,K4,2018001,,0100000026,EMEA,USD,12622,11044.25,1577.75,C,C,C
0500000002,0000000005,20180115,0000000005,20180120,K4,2018001,,0100000018,APJ,USD,45655,39948.125,5706.875,C,C,C
0500000003,0000000003,20180115,0000000003,20180120,K4,2018001,,0100000009,EMEA,USD,101786,89062.75,12723.25,C,C,C
0500000004,0000000008,20180116,0000000008,20180117,K4,2018001,,0100000025,EMEA,USD,71684,62723.5,8960.5,C,C,C
0500000005,0000000008,20180116,0000000008,20180119,K4,2018001,,0100000008,EMEA,USD,104213,91186.375,13026.625,C,C,C
0500000006,0000000003,20180117,0000000003,20180120,K4,2018001,,0100000038,EMEA,USD,173987,152238.625,21748.375,C,C,C
0500000007,0000000004,20180119,0000000004,20180121,K4,2018001,,0100000020,APJ,USD,1398,1223.25,174.75,C,C,C
0500000008,0000000003,20180120,0000000003,20180122,K4,2018001,,0100000028,EMEA,USD,127803,111827.625,15975.375,C,C,C
0500000009,0000000004,20180121,0000000004,20180122,K4,2018001,,0100000021,APJ,USD,79101,69213.375,9887.625,C,C,C
0500000010,0000000001,20180124,0000000001,20180126,K4,2018001,,0100000004,AMER,USD,10322,9031.75,1290.25,C,C,C
0500000011,0000000004,20180127,0000000004,20180130,K4,2018001,,0100000020,APJ,USD,99421,86993.375,12427.625,C,C,C
0500000012,0000000004,20180130,0000000004,20180204,K4,2018001,,0100000022,APJ,USD,15630,13676.25,1953.75,C,C,C
0500000013,0000000011,20180202,0000000011,20180205,K4,2018002,,0100000031,AMER,USD,70162,61391.75,8770.25,C,C,C
0500000014,0000000011,20180203,0000000011,20180205,K4,2018002,,0100000033,AMER,USD,32734,28642.25,4091.75,C,C,C
0500000015,0000000010,20180204,0000000010,20180209,K4,2018002,,0100000032,AMER,USD,21194,18544.75,2649.25,C,C,C
0500000016,0000000008,20180205,0000000008,20180210,K4,2018002,,0100000025,EMEA,USD,40691,35604.625,5086.375,C,C,C
0500000017,0000000013,20180206,0000000013,20180211,K4,2018002,,0100000030,AMER,USD,75228,65824.5,9403.5,C,C,C
0500000018,0000000001,20180206,0000000001,20180207,K4,2018002,,0100000034,AMER,USD,2871,2512.125,358.875,C,C,C
0500000019,0000000012,20180207,0000000012,20180210,K4,2018002,,0100000034,AMER,USD,27515,24075.625,3439.375,C,C,C
0500000020,0000000011,20180209,0000000011,20180212,K4,2018002,,0100000001,AMER,USD,57880,50645,7235,C,C,C
0500000021,0000000007,20180209,0000000007,20180212,K4,2018002,,0100000001,AMER,USD,379,331.625,47.375,C,C,C
0500000022,0000000003,20180210,0000000003,20180214,K4,2018002,,0100000011,EMEA,USD,6950,6081.25,868.75,C,C,C
0500000023,0000000003,20180213,0000000003,20180217,K4,2018002,,0100000012,EMEA,USD,85808,75082,10726,C,C,C
0500000024,0000000004,20180213,0000000004,20180214,K4,2018002,,0100000015,APJ,USD,95368,83447,11921,C,C,C
0500000025,0000000002,20180214,0000000002,20180216,K4,2018002,,0100000010,EMEA,USD,55575,48628.125,6946.875,C,C,C
0500000026,0000000002,20180215,0000000002,20180220,K4,2018002,,0100000012,EMEA,USD,85918,75178.25,10739.75,C,C,C
0500000027,0000000005,20180218,0000000005,20180221,K4,2018002,,0100000016,APJ,USD,104374,91327.25,13046.75,C,C,C
0500000028,0000000004,20180219,0000000004,20180223,K4,2018002,,0100000019,APJ,USD,70930,62063.75,8866.25,C,C,C
0500000029,0000000005,20180220,0000000005,20180222,K4,2018002,,0100000020,APJ,USD,95673,83713.875,11959.125,C,C,C
0500000030,0000000008,20180222,0000000008,20180226,K4,2018002,,0100000028,EMEA,USD,76022,66519.25,9502.75,C,C,C
0500000031,0000000002,20180223,0000000002,20180225,K4,2018002,,0100000011,EMEA,USD,49552,43358,6194,C,C,C
0500000032,0000000009,20180223,0000000009,20180228,K4,2018002,,0100000030,AMER,USD,57255,50098.125,7156.875,C,C,C
0500000033,0000000004,20180224,0000000004,20180228,K4,2018002,,0100000023,APJ,USD,73179,64031.625,9147.375,C,C,C
0500000034,0000000004,20180227,0000000004,20180303,K4,2018002,,0100000021,APJ,USD,30737,26894.875,3842.125,C,C,C
0500000035,0000000014,20180301,0000000014,20180302,K4,2018003,,0100000004,AMER,USD,50897,44534.875,6362.125,C,C,C
0500000036,0000000002,20180302,0000000002,20180305,K4,2018003,,0100000010,EMEA,USD,96759,84664.125,12094.875,C,C,C
0500000037,0000000008,20180303,0000000008,20180308,K4,2018003,,0100000038,EMEA,USD,6048,5292,756,C,C,C
0500000038,0000000009,20180304,0000000009,20180305,K4,2018003,,0100000001,AMER,USD,46443,40637.625,5805.375,C,C,C
0500000039,0000000002,20180305,0000000002,20180306,K4,2018003,,0100000007,EMEA,USD,13248,11592,1656,C,C,C
0500000040,0000000008,20180306,0000000008,20180311,K4,2018003,,0100000005,EMEA,USD,43638,38183.25,5454.75,C,C,C
0500000041,0000000008,20180307,0000000008,20180308,K4,2018003,,0100000009,EMEA,USD,29100,25462.5,3637.5,C,C,C
0500000042,0000000006,20180310,0000000006,20180314,K4,2018003,,0100000025,EMEA,USD,31474,27539.75,3934.25,C,C,C
0500000043,0000000006,20180311,0000000006,20180313,K4,2018003,,0100000039,EMEA,USD,35479,31044.125,4434.875,C,C,C
0500000044,0000000004,20180314,0000000004,20180317,K4,2018003,,0100000021,APJ,USD,1266,1107.75,158.25,C,C,C
0500000045,0000000002,20180316,0000000002,20180320,K4,2018003,,0100000014,EMEA,USD,9000,7875,1125,C,C,C
0500000046,0000000004,20180319,0000000004,20180321,K4,2018003,,0100000024,APJ,USD,95561,83615.875,11945.125,C,C,C
0500000047,0000000008,20180320,0000000008,20180322,K4,2018003,,0100000038,EMEA,USD,2288,2002,286,C,C,C
0500000048,0000000006,20180321,0000000006,20180326,K4,2018003,,0100000014,EMEA,USD,60113,52598.875,7514.125,C,C,C
0500000049,0000000008,20180321,0000000008,20180325,K4,2018003,,0100000009,EMEA,USD,75646,66190.25,9455.75,C,C,C
0500000050,0000000004,20180324,0000000004,20180326,K4,2018003,,0100000020,APJ,USD,56388,49339.5,7048.5,C,C,C
0500000051,0000000004,20180327,0000000004,20180401,K4,2018003,,0100000021,APJ,USD,21980,19232.5,2747.5,C,C,C
0500000052,0000000005,20180328,0000000005,20180401,K4,2018003,,0100000022,APJ,USD,15643,13687.625,1955.375,C,C,C
0500000053,0000000002,20180329,0000000002,20180331,K4,2018003,,0100000039,EMEA,USD,23778,20805.75,2972.25,C,C,C
0500000054,0000000009,20180330,0000000009,20180403,K4,2018003,,0100000030,AMER,USD,37718,33003.25,4714.75,C,C,C
0500000055,0000000003,20180401,0000000003,20180404,K4,2018004,,0100000014,EMEA,USD,70615,61788.125,8826.875,C,C,C
0500000056,0000000001,20180403,0000000001,20180404,K4,2018004,,0100000033,AMER,USD,98082,85821.75,12260.25,C,C,C
0500000057,0000000009,20180406,0000000009,20180410,K4,2018004,,0100000034,AMER,USD,29441,25760.875,3680.125,C,C,C
0500000058,0000000007,20180407,0000000007,20180409,K4,2018004,,0100000000,AMER,USD,82715,72375.625,10339.375,C,C,C
0500000059,0000000002,20180410,0000000002,20180412,K4,2018004,,0100000009,EMEA,USD,50763,44417.625,6345.375,C,C,C
0500000060,0000000004,20180413,0000000004,20180414,K4,2018004,,0100000015,APJ,USD,55380,48457.5,6922.5,C,C,C
0500000061,0000000003,20180415,0000000003,20180419,K4,2018004,,0100000008,EMEA,USD,52312,45773,6539,C,C,C
0500000062,0000000011,20180416,0000000011,20180419,K4,2018004,,0100000003,AMER,USD,1598,1398.25,199.75,C,C,C
0500000063,0000000009,20180419,0000000009,20180422,K4,2018004,,0100000004,AMER,USD,157214,137562.25,19651.75,C,C,C
0500000064,0000000004,20180420,0000000004,20180422,K4,2018004,,0100000023,APJ,USD,86746,75902.75,10843.25,C,C,C
0500000065,0000000004,20180422,0000000004,20180423,K4,2018004,,0100000016,APJ,USD,79857,69874.875,9982.125,C,C,C
0500000066,0000000013,20180424,0000000013,20180425,K4,2018004,,0100000032,AMER,USD,3245,2839.375,405.625,C,C,C
0500000067,0000000006,20180424,0000000006,20180428,K4,2018004,,0100000029,EMEA,USD,30531,26714.625,3816.375,C,C,C
0500000068,0000000006,20180424,0000000006,20180426,K4,2018004,,0100000010,EMEA,USD,61101,53463.375,7637.625,C,C,C
0500000069,0000000002,20180426,0000000002,20180430,K4,2018004,,0100000009,EMEA,USD,60306,52767.75,7538.25,C,C,C
0500000070,0000000009,20180427,0000000009,20180502,K4,2018004,,0100000034,AMER,USD,51608,45157,6451,C,C,C
0500000071,0000000004,20180427,0000000004,20180429,K4,2018004,,0100000023,APJ,USD,20880,18270,2610,C,C,C
0500000072,0000000005,20180427,0000000005,20180428,K4,2018004,,0100000021,APJ,USD,127657,111699.875,15957.125,C,C,C
0500000073,0000000008,20180428,0000000008,20180430,K4,2018004,,0100000006,EMEA,USD,8091,7079.625,1011.375,C,C,C
0500000074,0000000006,20180501,0000000006,20180503,K4,2018005,,0100000028,EMEA,USD,115705,101241.875,14463.125,C,C,C
0500000075,0000000005,20180504,0000000005,20180507,K4,2018005,,0100000015,APJ,USD,97518,85328.25,12189.75,C,C,C
0500000076,0000000001,20180506,0000000001,20180511,K4,2018005,,0100000033,AMER,USD,102586,89762.75,12823.25,C,C,C
0500000077,0000000004,20180506,0000000004,20180508,K4,2018005,,0100000017,APJ,USD,28086,24575.25,3510.75,C,C,C
0500000078,0000000010,20180509,0000000010,20180511,K4,2018005,,0100000001,AMER,USD,62302,54514.25,7787.75,C,C,C
0500000079,0000000001,20180511,0000000001,20180516,K4,2018005,,0100000032,AMER,USD,59180,51782.5,7397.5,C,C,C
0500000080,0000000013,20180513,0000000013,20180517,K4,2018005,,0100000004,AMER,USD,103772,90800.5,12971.5,C,C,C
0500000081,0000000001,20180516,0000000001,20180519,K4,2018005,,0100000032,AMER,USD,24845,21739.375,3105.625,C,C,C
0500000082,0000000003,20180519,0000000003,20180522,K4,2018005,,0100000012,EMEA,USD,12989,11365.375,1623.625,C,C,C
0500000083,0000000003,20180519,0000000003,20180523,K4,2018005,,0100000035,EMEA,USD,29118,25478.25,3639.75,C,C,C
0500000084,0000000006,20180519,0000000006,20180523,K4,2018005,,0100000027,EMEA,USD,87561,76615.875,10945.125,C,C,C
0500000085,0000000010,20180521,0000000010,20180525,K4,2018005,,0100000002,AMER,USD,48373,42326.375,6046.625,C,C,C
0500000086,0000000014,20180523,0000000014,20180524,K4,2018005,,0100000004,AMER,USD,21695,18983.125,2711.875,C,C,C
0500000087,0000000003,20180525,0000000003,20180526,K4,2018005,,0100000029,EMEA,USD,70368,61572,8796,C,C,C
0500000088,0000000010,20180528,0000000010,20180602,K4,2018005,,0100000002,AMER,USD,73949,64705.375,9243.625,C,C,C
0500000089,0000000013,20180530,0000000013,20180603,K4,2018005,,0100000033,AMER,USD,41484,36298.5,5185.5,C,C,C
0500000090,0000000010,20180601,0000000010,20180603,K4,2018006,,0100000001,AMER,USD,86264,75481,10783,C,C,C
0500000091,0000000002,20180603,0000000002,20180607,K4,2018006,,0100000035,EMEA,USD,28191,24667.125,3523.875,C,C,C
0500000092,0000000002,20180606,0000000002,20180609,K4,2018006,,0100000037,EMEA,USD,42500,37187.5,5312.5,C,C,C
0500000093,0000000004,20180609,0000000004,20180611,K4,2018006,,0100000020,APJ,USD,43266,37857.75,5408.25,C,C,C
0500000094,0000000004,20180609,0000000004,20180613,K4,2018006,,0100000018,APJ,USD,26337,23044.875,3292.125,C,C,C
0500000095,0000000008,20180612,0000000008,20180617,K4,2018006,,0100000014,EMEA,USD,9593,8393.875,1199.125,C,C,C
0500000096,0000000008,20180612,0000000008,20180615,K4,2018006,,0100000029,EMEA,USD,97311,85147.125,12163.875,C,C,C
0500000097,0000000012,20180614,0000000012,20180615,K4,2018006,,0100000032,AMER,USD,59317,51902.375,7414.625,C,C,C
0500000098,0000000004,20180615,0000000004,20180616,K4,2018006,,0100000024,APJ,USD,109554,95859.75,13694.25,C,C,C
0500000099,0000000005,20180617,0000000005,20180619,K4,2018006,,0100000015,APJ,USD,41279,36119.125,5159.875,C,C,C
0500000100,0000000006,20180619,0000000006,20180623,K4,2018006,,0100000014,EMEA,USD,53830,47101.25,6728.75,C,C,C
0500000101,0000000013,20180621,0000000013,20180623,K4,2018006,,0100000001,AMER,USD,46601,40775.875,5825.125,C,C,C
0500000102,0000000008,20180622,0000000008,20180626,K4,2018006,,0100000026,EMEA,USD,7191,6292.125,898.875,C,C,C
0500000103,0000000008,20180625,0000000008,20180630,K4,2018006,,0100000010,EMEA,USD,96695,84608.125,12086.875,C,C,C
0500000104,0000000008,20180628,0000000008,20180630,K4,2018006,,0100000008,EMEA,USD,17510,15321.25,2188.75,C,C,C
0500000105,0000000014,20180630,0000000014,20180704,K4,2018006,,0100000030,AMER,USD,55179,48281.625,6897.375,C,C,C
0500000106,0000000003,20180703,0000000003,20180706,K4,2018007,,0100000005,EMEA,USD,44294,38757.25,5536.75,C,C,C
0500000107,0000000012,20180705,0000000012,20180708,K4,2018007,,0100000034,AMER,USD,86805,75954.375,10850.625,C,C,C
0500000108,0000000011,20180706,0000000011,20180708,K4,2018007,,0100000000,AMER,USD,55623,48670.125,6952.875,C,C,C
0500000109,0000000004,20180706,0000000004,20180710,K4,2018007,,0100000022,APJ,USD,54990,48116.25,6873.75,C,C,C
0500000110,0000000003,20180707,0000000003,20180710,K4,2018007,,0100000009,EMEA,USD,65091,56954.625,8136.375,C,C,C
0500000111,0000000002,20180707,0000000002,20180712,K4,2018007,,0100000026,EMEA,USD,30464,26656,3808,C,C,C
0500000112,0000000004,20180710,0000000004,20180713,K4,2018007,,0100000017,APJ,USD,62204,54428.5,7775.5,X,X,X
0500000113,0000000009,20180712,0000000009,20180715,K4,2018007,,0100000001,AMER,USD,107321,93905.875,13415.125,C,C,C
0500000114,0000000012,20180713,0000000012,20180716,K4,2018007,,0100000034,AMER,USD,14807,12956.125,1850.875,C,C,C
0500000115,0000000012,20180715,0000000012,20180717,K4,2018007,,0100000003,AMER,USD,75693,66231.375,9461.625,C,C,C
0500000116,0000000003,20180716,0000000003,20180717,K4,2018007,,0100000036,EMEA,USD,4392,3843,549,C,C,C
0500000117,0000000008,20180719,0000000008,20180722,K4,2018007,,0100000027,EMEA,USD,12495,10933.125,1561.875,C,C,C
0500000118,0000000004,20180721,0000000004,20180724,K4,2018007,,0100000015,APJ,USD,66584,58261,8323,C,C,C
0500000119,0000000004,20180722,0000000004,20180725,K4,2018007,,0100000019,APJ,USD,71699,62736.625,8962.375,C,C,C
0500000120,0000000004,20180722,0000000004,20180726,K4,2018007,,0100000016,APJ,USD,81501,71313.375,10187.625,C,C,C
0500000121,0000000005,20180723,0000000005,20180728,K4,2018007,,0100000021,APJ,USD,55266,48357.75,6908.25,C,C,C
0500000122,0000000005,20180724,0000000005,20180727,K4,2018007,,0100000020,APJ,USD,35318,30903.25,4414.75,C,C,C
0500000123,0000000001,20180724,0000000001,20180725,K4,2018007,,0100000033,AMER,USD,43924,38433.5,5490.5,C,C,C
0500000124,0000000003,20180726,0000000003,20180727,K4,2018007,,0100000008,EMEA,USD,71289,62377.875,8911.125,C,C,C
0500000125,0000000006,20180726,0000000006,20180729,K4,2018007,,0100000028,EMEA,USD,32093,28081.375,4011.625,C,C,C
0500000126,0000000003,20180727,0000000003,20180728,K4,2018007,,0100000006,EMEA,USD,193987,169738.625,24248.375,C,C,C
0500000127,0000000004,20180727,0000000004,20180729,K4,2018007,,0100000023,APJ,USD,51985,45486.875,6498.125,C,C,C
0500000128,0000000001,20180727,0000000001,20180728,K4,2018007,,0100000032,AMER,USD,29097,25459.875,3637.125,C,C,C
0500000129,0000000003,20180730,0000000003,20180801,K4,2018007,,0100000005,EMEA,USD,109947,96203.625,13743.375,C,C,C
0500000130,0000000006,20180802,0000000006,20180805,K4,2018008,,0100000038,EMEA,USD,110778,96930.75,13847.25,C,C,C
0500000131,0000000010,20180805,0000000010,20180810,K4,2018008,,0100000001,AMER,USD,86689,75852.875,10836.125,C,C,C
0500000132,0000000008,20180808,0000000008,20180809,K4,2018008,,0100000029,EMEA,USD,17493,15306.375,2186.625,C,C,C
0500000133,0000000005,20180811,0000000005,20180815,K4,2018008,,0100000016,APJ,USD,6003,5252.625,750.375,C,C,C
0500000134,0000000005,20180814,0000000005,20180816,K4,2018008,,0100000024,APJ,USD,33409,29232.875,4176.125,C,C,C
0500000135,0000000004,20180817,0000000004,20180820,K4,2018008,,0100000020,APJ,USD,131393,114968.875,16424.125,C,C,C
0500000136,0000000003,20180820,0000000003,20180823,K4,2018008,,0100000009,EMEA,USD,47816,41839,5977,C,C,C
0500000137,0000000002,20180820,0000000002,20180821,K4,2018008,,0100000007,EMEA,USD,55372,48450.5,6921.5,C,C,C
0500000138,0000000012,20180820,0000000012,20180825,K4,2018008,,0100000033,AMER,USD,81833,71603.875,10229.125,C,C,C
0500000139,0000000006,20180823,0000000006,20180824,K4,2018008,,0100000014,EMEA,USD,51576,45129,6447,C,C,C
0500000140,0000000005,20180823,0000000005,20180828,K4,2018008,,0100000015,APJ,USD,99871,87387.125,12483.875,C,C,C
0500000141,0000000005,20180825,0000000005,20180830,K4,2018008,,0100000023,APJ,USD,47703,41740.125,5962.875,C,C,C
0500000142,0000000011,20180828,0000000011,20180830,K4,2018008,,0100000004,AMER,USD,33890,29653.75,4236.25,C,C,C
0500000143,0000000005,20180829,0000000005,20180901,K4,2018008,,0100000020,APJ,USD,21862,19129.25,2732.75,C,C,C
0500000144,0000000004,20180901,0000000004,20180905,K4,2018009,,0100000023,APJ,USD,60566,52995.25,7570.75,C,C,C
0500000145,0000000008,20180901,0000000008,20180902,K4,2018009,,0100000007,EMEA,USD,40539,35471.625,5067.375,C,C,C
0500000146,0000000005,20180903,0000000005,20180905,K4,2018009,,0100000020,APJ,USD,90216,78939,11277,C,C,C
0500000147,0000000002,20180903,0000000002,20180906,K4,2018009,,0100000036,EMEA,USD,45043,39412.625,5630.375,C,C,C
0500000148,0000000014,20180903,0000000014,20180906,K4,2018009,,0100000004,AMER,USD,109812,96085.5,13726.5,C,C,C
0500000149,0000000004,20180906,0000000004,20180910,K4,2018009,,0100000018,APJ,USD,62687,54851.125,7835.875,C,C,C
0500000150,0000000005,20180906,0000000005,20180909,K4,2018009,,0100000023,APJ,USD,72691,63604.625,9086.375,C,C,C
0500000151,0000000003,20180908,0000000003,20180910,K4,2018009,,0100000039,EMEA,USD,14874,13014.75,1859.25,C,C,C
0500000152,0000000002,20180911,0000000002,20180912,K4,2018009,,0100000014,EMEA,USD,64433,56378.875,8054.125,C,C,C
0500000153,0000000004,20180912,0000000004,20180913,K4,2018009,,0100000016,APJ,USD,69265,60606.875,8658.125,C,C,C
0500000154,0000000002,20180912,0000000002,20180915,K4,2018009,,0100000037,EMEA,USD,124062,108554.25,15507.75,C,C,C
0500000155,0000000008,20180915,0000000008,20180920,K4,2018009,,0100000035,EMEA,USD,70063,61305.125,8757.875,C,C,C
0500000156,0000000002,20180915,0000000002,20180918,K4,2018009,,0100000039,EMEA,USD,108752,95158,13594,C,C,C
0500000157,0000000009,20180917,0000000009,20180920,K4,2018009,,0100000003,AMER,USD,105359,92189.125,13169.875,C,C,C
0500000158,0000000002,20180919,0000000002,20180922,K4,2018009,,0100000011,EMEA,USD,80064,70056,10008,C,C,C
0500000159,0000000008,20180922,0000000008,20180924,K4,2018009,,0100000011,EMEA,USD,52131,45614.625,6516.375,C,C,C
0500000160,0000000006,20180925,0000000006,20180929,K4,2018009,,0100000028,EMEA,USD,54468,47659.5,6808.5,C,C,C
0500000161,0000000002,20180926,0000000002,20180929,K4,2018009,,0100000039,EMEA,USD,9889,8652.875,1236.125,C,C,C
0500000162,0000000009,20180929,0000000009,20181004,K4,2018009,,0100000002,AMER,USD,29389,25715.375,3673.625,C,C,C
0500000163,0000000003,20180929,0000000003,20181002,K4,2018009,,0100000025,EMEA,USD,59089,51702.875,7386.125,C,C,C
0500000164,0000000012,20180929,0000000012,20181003,K4,2018009,,0100000004,AMER,USD,33252,29095.5,4156.5,X,X,X
0500000165,0000000002,20180929,0000000002,20181003,K4,2018009,,0100000005,EMEA,USD,112475,98415.625,14059.375,C,C,C
